state	fips	year	black_men	total_men	black_women	total_women
US	70	1981	160442	353335	7687	15437
US	70	1982	180844	396439	8766	17923
US	70	1983	191020	418084	9196	19154
US	70	1984	199692	441624	9981	20818
US	70	1985	216344	479277	10793	23099
US	70	1986	234430	518478	12403	26655
US	70	1987	249730	552133	13228	28887
US	70	1988	274570	594996	14892	32604
US	70	1989	315683	671917	19269	40646
US	70	1990	345940	730141	19269	40646
US	70	1991	371864	776550	23381	47583
US	70	1992	399775	833163	24931	50493
US	70	1993	429278	891885	27292	55061
US	70	1994	471583	990434	30089	64340
US	70	1995	510760	1057810	33245	68477
US	70	1996	530140	1105945	35409	74579
US	70	1997	553370	1161766	37084	79196
US	70	1998	577289	1214969	38817	84127
US	70	1999	597462	1270915	40528	90129
US	70	2000	597595	1321127	39505	93948
US	70	2001	597761	1306522	38757	92622
US	70	2002	599704	1332154	38327	96428
US	70	2003	604155	1366263	38306	100865
US	70	2004	608774	1389315	37866	104834
US	70	2005	613017	1419019	36502	107996
US	70	2006	625842	1451014	36860	111923
US	70	2007	638932	1479007	36837	114152
US	70	2008	642330	1485815	35943	112730
US	70	2009	644219	1498583	35038	113338
US	70	2010	635808	1490866	33721	112753
US	70	2011	630651	1485763	31995	111351
US	70	2012	605355	1440346	29394	107067
ST	60	1981	152313	326761	7018	13878
ST	60	1982	171561	368393	8055	16296
ST	60	1983	181335	387912	8435	17400
ST	60	1984	189754	409357	9133	18822
ST	60	1985	204280	441458	9791	20695
ST	60	1986	221708	476903	11261	23822
ST	60	1987	236239	506860	12078	25860
ST	60	1988	260564	548310	13582	29362
ST	60	1989	299287	617181	17573	36211
ST	60	1990	326845	667966	17573	36211
ST	60	1991	351273	710596	21245	41929
ST	60	1992	376471	759303	22472	44094
ST	60	1993	401806	809189	24595	48170
ST	60	1994	440992	902540	27232	57200
ST	60	1995	476590	964958	30360	61079
ST	60	1996	492853	1008101	32373	66879
ST	60	1997	512756	1057099	33912	70890
ST	60	1998	532938	1101114	35321	74941
ST	60	1999	548183	1145582	36759	80216
ST	60	2000	545537	1153831	35820	81140
ST	60	2001	537476	1160502	34765	81649
ST	60	2002	537173	1179860	34354	85194
ST	60	2003	538226	1204839	34311	89230
ST	60	2004	540435	1221151	33851	92670
ST	60	2005	541528	1243823	32535	95574
ST	60	2006	551997	1270943	32946	98948
ST	60	2007	562616	1292727	32965	100814
ST	60	2008	566362	1297808	32187	99457
ST	60	2009	566994	1304090	31329	99713
ST	60	2010	558078	1294644	30006	99204
ST	60	2011	552998	1283301	28435	97451
ST	60	2012	540302	1257787	26478	94510
AK	2	1981	126	972	13	47
AK	2	1982	91	1261	3	45
AK	2	1983	140	1560	7	74
AK	2	1984	151	1888	6	79
AK	2	1985	198	2207	20	122
AK	2	1986	211	2344	10	116
AK	2	1987	217	2408	11	120
AK	2	1988	271	2465	20	123
AK	2	1989	310	2583	19	161
AK	2	1990	288	2494	19	161
AK	2	1991	314	2574	25	132
AK	2	1992	327	2716	28	149
AK	2	1993	313	2581	23	122
AK	2	1994	415	3074	40	218
AK	2	1995	440	3279	41	243
AK	2	1996	486	3446	43	270
AK	2	1997	538	3861	62	304
AK	2	1998	509	3795	47	302
AK	2	1999	467	3765	45	312
AK	2	2000	474	3889	31	284
AK	2	2001	475	4212	48	359
AK	2	2002	459	4049	31	349
AK	2	2003	441	4135	29	392
AK	2	2004	454	4157	28	397
AK	2	2005	452	4347	36	465
AK	2	2006	477	4551	37	518
AK	2	2007	481	4603	50	564
AK	2	2008	465	4511	35	503
AK	2	2009	506	4696	44	589
AK	2	2010	491	4953	37	648
AK	2	2011	505	4932	47	665
AK	2	2012	472	4934	49	699
AL	1	1981	4516	7339	202	318
AL	1	1982	5324	8757	295	476
AL	1	1983	5711	9375	301	481
AL	1	1984	5978	9961	317	521
AL	1	1985	6227	10453	333	562
AL	1	1986	6657	11094	387	616
AL	1	1987	7281	12095	446	732
AL	1	1988	7244	11858	478	752
AL	1	1989	8056	13062	519	845
AL	1	1990	9282	14710	519	845
AL	1	1991	10119	15705	674	1055
AL	1	1992	10660	16352	711	1101
AL	1	1993	11450	17493	729	1131
AL	1	1994	11996	18359	771	1214
AL	1	1995	12715	19423	816	1295
AL	1	1996	13397	20403	839	1357
AL	1	1997	13784	20930	810	1360
AL	1	1998	14080	21215	825	1461
AL	1	1999	15206	23063	934	1670
AL	1	2000	14727	22156	870	1556
AL	1	2001	15384	23680	890	1662
AL	1	2002	16753	26250	838	1697
AL	1	2003	16031	25500	851	1833
AL	1	2004	14903	24129	749	1744
AL	1	2005	15725	25923	761	1965
AL	1	2006	15889	26191	793	2050
AL	1	2007	16690	27254	883	2158
AL	1	2008	17405	28277	935	2231
AL	1	2009	18084	29419	953	2455
AL	1	2010	17550	28846	910	2446
AL	1	2011	17866	29696	852	2574
AL	1	2012	17772	29782	859	2649
AR	5	1981	1567	3197	65	131
AR	5	1982	1919	3748	92	177
AR	5	1983	2073	4048	106	196
AR	5	1984	2178	4276	110	196
AR	5	1985	2153	4394	111	217
AR	5	1986	2238	4477	96	224
AR	5	1987	2536	5179	110	262
AR	5	1988	2646	5224	140	295
AR	5	1989	3126	6036	187	373
AR	5	1990	2948	6381	187	373
AR	5	1991	4171	7329	266	437
AR	5	1992	4449	7821	282	464
AR	5	1993	4642	8130	283	495
AR	5	1994	4612	8063	307	580
AR	5	1995	4841	8857	255	554
AR	5	1996	4873	8859	274	548
AR	5	1997	5222	9410	321	611
AR	5	1998	5421	9942	278	696
AR	5	1999	5572	10520	312	781
AR	5	2000	5772	11143	296	772
AR	5	2001	5892	11742	313	851
AR	5	2002	6093	12237	307	854
AR	5	2003	5866	12273	315	948
AR	5	2004	5702	12565	326	1090
AR	5	2005	5622	12368	334	1126
AR	5	2006	5874	12687	336	1042
AR	5	2007	6140	13248	341	1066
AR	5	2008	6338	13656	325	1060
AR	5	2009	6622	14147	310	1061
AR	5	2010	6903	15040	282	1164
AR	5	2011	6714	14995	268	1114
AR	5	2012	6216	13594	266	1060
AZ	4	1981	970	4986	39	237
AZ	4	1982	951	5788	42	281
AZ	4	1983	1271	6904	62	347
AZ	4	1984	1257	7482	61	363
AZ	4	1985	1297	8134	65	397
AZ	4	1986	1452	8948	95	486
AZ	4	1987	1675	10339	112	609
AZ	4	1988	1775	11381	132	714
AZ	4	1989	2033	12471	164	780
AZ	4	1990	2283	13426	164	780
AZ	4	1991	2432	14476	201	939
AZ	4	1992	2654	15476	234	1001
AZ	4	1993	2865	16774	222	1037
AZ	4	1994	3085	18473	249	1273
AZ	4	1995	3142	19909	246	1432
AZ	4	1996	3172	20978	260	1515
AZ	4	1997	3255	21924	268	1560
AZ	4	1998	3444	23531	295	1780
AZ	4	1999	3539	24131	292	1855
AZ	4	2000	3544	24546	312	1964
AZ	4	2001	3651	25542	348	2168
AZ	4	2002	3720	26931	320	2428
AZ	4	2003	3832	28514	346	2656
AZ	4	2004	3929	29750	333	2765
AZ	4	2005	3992	30575	323	2896
AZ	4	2006	4378	32644	359	3151
AZ	4	2007	4570	34286	403	3460
AZ	4	2008	4808	35739	416	3763
AZ	4	2009	4949	36768	407	3776
AZ	4	2010	4889	36444	412	3686
AZ	4	2011	4970	36401	395	3548
AZ	4	2012	4969	36382	331	3631
CA	6	1981	9765	27775	505	1427
CA	6	1982	11679	32987	547	1653
CA	6	1983	13193	37353	593	2020
CA	6	1984	14007	41018	647	2310
CA	6	1985	16138	47205	816	2906
CA	6	1986	19549	55920	982	3564
CA	6	1987	22184	62823	1200	4152
CA	6	1988	26438	71278	1520	4893
CA	6	1989	30066	81297	2175	6000
CA	6	1990	32190	90807	2175	6000
CA	6	1991	32981	95506	2224	6302
CA	6	1992	34279	102749	2371	6747
CA	6	1993	36461	112370	2643	7581
CA	6	1994	37472	117390	2816	8215
CA	6	1995	39399	126564	3062	9082
CA	6	1996	42300	135942	3453	10107
CA	6	1997	44682	144876	3649	10914
CA	6	1998	46235	148600	3817	11527
CA	6	1999	46578	149513	3751	11174
CA	6	2000	46243	149677	3656	10978
CA	6	2001	44862	147391	3171	9751
CA	6	2002	44807	149899	3027	9796
CA	6	2003	44439	151331	3104	10454
CA	6	2004	44487	152966	3235	10973
CA	6	2005	44975	156573	3285	11462
CA	6	2006	46294	160770	3360	11758
CA	6	2007	46975	162654	3326	11628
CA	6	2008	47123	162050	3377	11620
CA	6	2009	46591	160286	3089	10989
CA	6	2010	44956	155104	2819	9958
CA	6	2011	41209	141382	2269	8187
CA	6	2012	37990	128436	1716	6098
CO	8	1981	560	2691	19	81
CO	8	1982	608	2923	28	119
CO	8	1983	648	3108	37	136
CO	8	1984	640	3091	40	140
CO	8	1985	665	3238	40	131
CO	8	1986	786	3627	57	177
CO	8	1987	959	4565	76	243
CO	8	1988	1229	5488	94	277
CO	8	1989	1492	6513	120	395
CO	8	1990	1525	6586	120	395
CO	8	1991	1801	7939	136	453
CO	8	1992	1912	8470	177	527
CO	8	1993	2152	8920	175	542
CO	8	1994	2364	10047	217	670
CO	8	1995	2496	10350	248	713
CO	8	1996	2747	11593	275	845
CO	8	1997	3030	12512	290	949
CO	8	1998	3059	13242	317	1070
CO	8	1999	3310	14457	360	1213
CO	8	2000	3586	15500	384	1333
CO	8	2001	3641	16073	365	1375
CO	8	2002	3788	17267	362	1566
CO	8	2003	3797	17935	398	1736
CO	8	2004	3797	18393	387	1900
CO	8	2005	3845	19336	388	2120
CO	8	2006	4005	20179	386	2302
CO	8	2007	4066	20506	404	2335
CO	8	2008	4164	20829	395	2315
CO	8	2009	4142	20694	361	2101
CO	8	2010	4083	20763	326	2052
CO	8	2011	3905	19957	307	2021
CO	8	2012	3672	18739	269	1723
CT	9	1981	1973	4414	132	233
CT	9	1982	2509	5575	133	261
CT	9	1983	2340	5193	146	281
CT	9	1984	2444	5431	152	287
CT	9	1985	2620	5826	145	323
CT	9	1986	2890	6510	194	395
CT	9	1987	3070	7059	213	452
CT	9	1988	3541	7455	253	550
CT	9	1989	4172	8654	286	647
CT	9	1990	4818	9817	286	647
CT	9	1991	4856	10317	288	660
CT	9	1992	4897	10693	305	710
CT	9	1993	5873	12697	437	994
CT	9	1994	6175	13381	458	999
CT	9	1995	6406	13826	451	975
CT	9	1996	6396	13874	486	1133
CT	9	1997	7456	15840	603	1401
CT	9	1998	7675	16248	615	1357
CT	9	1999	8042	17180	628	1459
CT	9	2000	7882	16949	579	1406
CT	9	2001	8125	17749	603	1447
CT	9	2002	8526	19026	683	1694
CT	9	2003	8110	18298	556	1548
CT	9	2004	7902	18009	528	1488
CT	9	2005	7764	17953	530	1489
CT	9	2006	8168	18972	559	1594
CT	9	2007	8427	19428	517	1496
CT	9	2008	8398	19159	498	1502
CT	9	2009	7902	18381	410	1335
CT	9	2010	7664	18075	390	1246
CT	9	2011	7180	17090	368	1234
CT	9	2012	6815	16312	376	1218
DC	11	1981	3264	3363	112	116
DC	11	1982	3798	3902	168	179
DC	11	1983	3994	4117	208	227
DC	11	1984	4192	4315	190	206
DC	11	1985	6021	6176	211	228
DC	11	1986	6241	6369	239	249
DC	11	1987	7126	7295	320	350
DC	11	1988	8205	8459	357	372
DC	11	1989	9320	9451	552	588
DC	11	1990	9222	9341	552	588
DC	11	1991	9513	9701	724	754
DC	11	1992	9996	10155	691	720
DC	11	1993	10023	10158	660	687
DC	11	1994	10129	10262	665	687
DC	11	1995	9070	9306	475	494
DC	11	1996	8617	8915	437	461
DC	11	1997	8704	8946	392	407
DC	11	1998	9229	9470	345	359
DC	11	1999	9796	10183	212	221
DC	11	2000	9319	9996	323	356
DC	11	2001	-8	-8	-8	-8
DC	11	2002	-8	-8	-8	-8
DC	11	2003	-8	-8	-8	-8
DC	11	2004	-8	-8	-8	-8
DC	11	2005	-8	-8	-8	-8
DC	11	2006	-8	-8	-8	-8
DC	11	2007	-8	-8	-8	-8
DC	11	2008	-8	-8	-8	-8
DC	11	2009	-8	-8	-8	-8
DC	11	2010	-9	-9	-9	-9
DC	11	2011	-9	-9	-9	-9
DC	11	2012	-9	-9	-9	-9
DE	10	1981	972	1637	49	75
DE	10	1982	1143	1964	66	98
DE	10	1983	1197	2091	69	107
DE	10	1984	1208	2095	68	107
DE	10	1985	1356	2422	87	131
DE	10	1986	1545	2666	104	157
DE	10	1987	1595	2775	99	164
DE	10	1988	1823	3020	114	177
DE	10	1989	2045	3234	153	224
DE	10	1990	2102	3245	153	224
DE	10	1991	2287	3477	162	240
DE	10	1992	2476	3777	189	274
DE	10	1993	2606	3953	194	257
DE	10	1994	2797	4184	199	282
DE	10	1995	2929	4445	228	357
DE	10	1996	3060	4731	220	379
DE	10	1997	3237	5052	244	383
DE	10	1998	3260	5118	261	440
DE	10	1999	4070	6371	356	612
DE	10	2000	3965	6324	360	597
DE	10	2001	4024	6412	337	591
DE	10	2002	3997	6275	304	550
DE	10	2003	3938	6283	273	511
DE	10	2004	3948	6370	292	557
DE	10	2005	3946	6398	266	555
DE	10	2006	4048	6615	260	571
DE	10	2007	4080	6682	254	575
DE	10	2008	4061	6502	248	555
DE	10	2009	3779	6284	206	491
DE	10	2010	3600	5931	162	447
DE	10	2011	3653	6202	187	537
DE	10	2012	3660	6348	186	566
FE	99	1981	8129	26574	669	1559
FE	99	1982	9283	28046	711	1627
FE	99	1983	9685	30172	761	1754
FE	99	1984	9938	32267	848	1996
FE	99	1985	12064	37819	1002	2404
FE	99	1986	12722	41575	1142	2833
FE	99	1987	13491	45273	1150	3027
FE	99	1988	14006	46686	1310	3242
FE	99	1989	16396	54736	1696	4435
FE	99	1990	19095	62175	1696	4435
FE	99	1991	20591	65954	2136	5654
FE	99	1992	23304	73860	2459	6399
FE	99	1993	27472	82696	2697	6891
FE	99	1994	30591	87894	2857	7140
FE	99	1995	34170	92852	2885	7398
FE	99	1996	37287	97844	3036	7700
FE	99	1997	40614	104667	3172	8306
FE	99	1998	44351	113855	3496	9186
FE	99	1999	49279	125333	3769	9913
FE	99	2000	52058	167296	3685	12808
FE	99	2001	60285	146020	3992	10973
FE	99	2002	62531	152294	3973	11234
FE	99	2003	65929	161424	3995	11635
FE	99	2004	68339	168164	4015	12164
FE	99	2005	71489	175196	3967	12422
FE	99	2006	73845	180071	3914	12975
FE	99	2007	76316	186280	3872	13338
FE	99	2008	75968	188007	3756	13273
FE	99	2009	77225	194493	3709	13625
FE	99	2010	77730	196222	3715	13549
FE	99	2011	77653	202462	3560	13900
FE	99	2012	65053	182559	2916	12557
FL	12	1981	10778	22595	573	994
FL	12	1982	12783	26584	688	1246
FL	12	1983	12206	25154	655	1180
FL	12	1984	12533	25764	628	1150
FL	12	1985	13427	27296	715	1304
FL	12	1986	15486	30602	949	1635
FL	12	1987	16074	30764	920	1681
FL	12	1988	17510	32721	869	2011
FL	12	1989	20750	37448	1520	2551
FL	12	1990	23824	41723	1520	2551
FL	12	1991	25607	43895	1578	2638
FL	12	1992	26823	45703	1601	2599
FL	12	1993	29385	50349	1612	2699
FL	12	1994	31335	54100	1788	3068
FL	12	1995	34313	60219	2094	3660
FL	12	1996	33643	60461	1818	3302
FL	12	1997	33958	61207	1813	3419
FL	12	1998	35265	63698	1878	3526
FL	12	1999	35982	65776	1997	3820
FL	12	2000	36147	67214	2029	4105
FL	12	2001	36399	68122	2045	4282
FL	12	2002	37163	70615	2145	4595
FL	12	2003	39920	76847	2289	5165
FL	12	2004	41003	79873	2343	5660
FL	12	2005	42784	83615	2466	6153
FL	12	2006	42930	84101	2466	6310
FL	12	2007	45940	91365	2602	6854
FL	12	2008	43234	85485	1923	5235
FL	12	2009	48786	96632	2661	7283
FL	12	2010	48473	96956	2493	7350
FL	12	2011	47419	95913	2306	7142
FL	12	2012	46833	94945	2197	6985
GA	13	1981	6960	11839	353	605
GA	13	1982	8113	13753	386	663
GA	13	1983	8668	14608	447	750
GA	13	1984	8876	15039	478	769
GA	13	1985	9043	15181	488	833
GA	13	1986	9847	16416	582	947
GA	13	1987	10865	17647	601	928
GA	13	1988	11429	17858	557	929
GA	13	1989	13001	19775	693	1110
GA	13	1990	14025	21125	693	1110
GA	13	1991	15031	22253	900	1391
GA	13	1992	16125	23835	939	1455
GA	13	1993	17713	26023	1142	1760
GA	13	1994	21153	31413	1279	2012
GA	13	1995	21838	32230	1313	2036
GA	13	1996	22206	32900	1412	2239
GA	13	1997	22996	34223	1396	2282
GA	13	1998	24508	36788	1514	2474
GA	13	1999	26271	39484	1541	2607
GA	13	2000	27126	41474	1572	2758
GA	13	2001	27390	42528	1475	2755
GA	13	2002	27777	44316	1676	3129
GA	13	2003	26933	44063	1591	3145
GA	13	2004	31439	47579	2143	3400
GA	13	2005	27503	45856	1408	2893
GA	13	2006	28927	49235	1603	3557
GA	13	2007	31552	50711	1589	3545
GA	13	2008	30972	49027	1693	3687
GA	13	2009	31619	49597	1800	3777
GA	13	2010	28915	45355	1814	3809
GA	13	2011	33230	52027	1862	3917
GA	13	2012	32662	51868	1600	3589
HI	15	1981	41	1158	3	49
HI	15	1982	65	1367	3	69
HI	15	1983	77	1591	12	109
HI	15	1984	74	1858	6	107
HI	15	1985	98	1963	4	148
HI	15	1986	101	2044	11	136
HI	15	1987	109	2110	7	158
HI	15	1988	140	2128	4	172
HI	15	1989	137	2287	10	183
HI	15	1990	132	2362	10	183
HI	15	1991	145	2533	10	167
HI	15	1992	156	2729	12	197
HI	15	1993	152	2923	11	206
HI	15	1994	162	3076	12	257
HI	15	1995	156	3248	8	312
HI	15	1996	187	3626	18	385
HI	15	1997	208	4460	24	518
HI	15	1998	204	4494	16	430
HI	15	1999	192	4380	21	558
HI	15	2000	210	4492	18	561
HI	15	2001	202	4815	19	616
HI	15	2002	226	4754	26	669
HI	15	2003	235	5143	25	685
HI	15	2004	246	5261	26	699
HI	15	2005	246	5414	28	732
HI	15	2006	232	5233	26	734
HI	15	2007	226	5232	21	746
HI	15	2008	223	5227	23	728
HI	15	2009	251	5190	21	701
HI	15	2010	233	5184	17	728
HI	15	2011	232	5304	21	733
HI	15	2012	225	5143	19	688
IA	19	1981	455	2556	35	114
IA	19	1982	487	2708	22	121
IA	19	1983	497	2697	21	117
IA	19	1984	503	2733	19	103
IA	19	1985	545	2716	23	116
IA	19	1986	525	2653	25	124
IA	19	1987	573	2729	26	122
IA	19	1988	629	2894	42	140
IA	19	1989	735	3405	42	179
IA	19	1990	810	3755	42	179
IA	19	1991	885	3949	55	196
IA	19	1992	1000	4275	76	243
IA	19	1993	1121	4617	100	281
IA	19	1994	1271	5086	106	351
IA	19	1995	1362	5481	119	425
IA	19	1996	1457	5872	111	470
IA	19	1997	1569	6410	127	528
IA	19	1998	1671	6903	99	491
IA	19	1999	1627	6693	122	539
IA	19	2000	1719	7363	123	592
IA	19	2001	1688	7327	123	635
IA	19	2002	1710	7695	142	703
IA	19	2003	1726	7830	154	716
IA	19	2004	1726	7768	157	757
IA	19	2005	1826	7937	184	800
IA	19	2006	2101	8048	209	790
IA	19	2007	2026	8015	153	717
IA	19	2008	2060	8017	159	749
IA	19	2009	2073	8090	152	723
IA	19	2010	2266	8675	159	780
IA	19	2011	2266	8378	137	738
IA	19	2012	2097	7949	158	784
ID	16	1981	25	932	1	25
ID	16	1982	28	1026	1	21
ID	16	1983	29	1149	1	43
ID	16	1984	25	1203	2	50
ID	16	1985	31	1293	1	51
ID	16	1986	31	1387	1	61
ID	16	1987	25	1359	0	76
ID	16	1988	23	1497	1	84
ID	16	1989	24	1738	2	112
ID	16	1990	27	1841	2	112
ID	16	1991	29	2022	3	121
ID	16	1992	26	2131	1	125
ID	16	1993	47	2458	2	148
ID	16	1994	35	2639	1	172
ID	16	1995	50	3116	5	212
ID	16	1996	57	3561	6	271
ID	16	1997	59	3648	6	263
ID	16	1998	53	3762	4	321
ID	16	1999	71	4443	7	399
ID	16	2000	74	5042	8	493
ID	16	2001	82	5003	10	541
ID	16	2002	95	5573	12	630
ID	16	2003	90	5295	6	592
ID	16	2004	107	6024	13	756
ID	16	2005	134	6423	16	864
ID	16	2006	135	6347	15	777
ID	16	2007	142	6519	9	800
ID	16	2008	158	6532	13	758
ID	16	2009	171	6656	12	744
ID	16	2010	169	6621	12	810
ID	16	2011	183	6854	8	885
ID	16	2012	200	6977	14	1008
IL	17	1981	7958	12803	259	403
IL	17	1982	8345	13806	309	487
IL	17	1983	9140	15038	185	557
IL	17	1984	9814	16479	400	635
IL	17	1985	10721	17961	411	673
IL	17	1986	11103	18692	474	764
IL	17	1987	11422	19071	474	779
IL	17	1988	11975	20182	541	899
IL	17	1989	14276	23693	605	1019
IL	17	1990	16220	26333	605	1019
IL	17	1991	17501	27858	805	1257
IL	17	1992	19444	30184	950	1456
IL	17	1993	21428	32807	1107	1688
IL	17	1994	22794	34718	1214	1813
IL	17	1995	23153	35462	1483	2196
IL	17	1996	23751	36603	1570	2249
IL	17	1997	24841	38358	1681	2430
IL	17	1998	26374	40405	1846	2646
IL	17	1999	27204	41858	1911	2802
IL	17	2000	27271	42432	1868	2849
IL	17	2001	26510	41601	1791	2747
IL	17	2002	25034	40173	1546	2520
IL	17	2003	24765	40718	1556	2700
IL	17	2004	24949	41304	1572	2750
IL	17	2005	25522	42194	1440	2725
IL	17	2006	25809	42639	1374	2713
IL	17	2007	25284	42391	1503	2824
IL	17	2008	25358	42753	1393	2721
IL	17	2009	25043	42571	1256	2590
IL	17	2010	26457	45496	1341	2922
IL	17	2011	26375	45562	1266	2865
IL	17	2012	26975	46599	1215	2749
IN	18	1981	2659	7736	136	286
IN	18	1982	2901	8440	166	350
IN	18	1983	3062	8907	185	389
IN	18	1984	3071	8933	189	395
IN	18	1985	3249	9453	215	451
IN	18	1986	3216	9771	193	404
IN	18	1987	3192	10336	216	491
IN	18	1988	3367	10904	221	502
IN	18	1989	4488	11717	216	624
IN	18	1990	4566	12055	216	624
IN	18	1991	4687	12302	284	706
IN	18	1992	5255	13207	312	738
IN	18	1993	5565	13692	341	778
IN	18	1994	5909	14188	333	826
IN	18	1995	6484	15233	362	892
IN	18	1996	6769	15952	390	1008
IN	18	1997	7262	16832	445	1071
IN	18	1998	7629	17999	480	1198
IN	18	1999	7728	18087	484	1222
IN	18	2000	7754	18673	569	1452
IN	18	2001	8005	19424	602	1542
IN	18	2002	8147	20028	590	1583
IN	18	2003	8356	21311	623	1758
IN	18	2004	8778	22116	625	1892
IN	18	2005	8629	22571	561	1884
IN	18	2006	9291	23924	658	2167
IN	18	2007	8612	21319	640	2108
IN	18	2008	10127	25829	738	2493
IN	18	2009	10114	26302	677	2506
IN	18	2010	9687	25522	593	2506
IN	18	2011	10057	26406	535	2500
IN	18	2012	9737	26265	497	2566
KS	20	1981	882	2625	52	145
KS	20	1982	1028	2918	67	160
KS	20	1983	1249	3500	87	205
KS	20	1984	1395	4009	102	235
KS	20	1985	1556	4459	122	273
KS	20	1986	1681	5048	138	297
KS	20	1987	1829	5505	119	276
KS	20	1988	1857	5540	120	277
KS	20	1989	1757	5370	99	246
KS	20	1990	1876	5491	99	246
KS	20	1991	2014	5610	131	293
KS	20	1992	2112	5706	152	322
KS	20	1993	2099	5452	124	275
KS	20	1994	2356	6027	153	344
KS	20	1995	2581	6605	198	449
KS	20	1996	2771	7280	203	476
KS	20	1997	2830	7435	198	476
KS	20	1998	2851	7660	199	523
KS	20	1999	2878	7997	223	570
KS	20	2000	2803	7840	183	504
KS	20	2001	2839	8080	180	497
KS	20	2002	2924	8398	202	537
KS	20	2003	2869	8503	204	629
KS	20	2004	2787	8346	177	620
KS	20	2005	2757	8394	212	674
KS	20	2006	2699	8178	185	638
KS	20	2007	2678	8071	191	625
KS	20	2008	2654	7970	148	569
KS	20	2009	2708	8076	148	565
KS	20	2010	2828	8428	165	623
KS	20	2011	2900	8647	199	680
KS	20	2012	2924	8952	186	730
KY	21	1981	1139	4067	32	100
KY	21	1982	1061	3929	58	148
KY	21	1983	1368	4559	118	193
KY	21	1984	1523	4617	74	203
KY	21	1985	1520	4751	72	224
KY	21	1986	1645	5067	88	221
KY	21	1987	1702	5246	90	225
KY	21	1988	2058	6771	121	348
KY	21	1989	2356	7842	170	447
KY	21	1990	2563	8544	170	447
KY	21	1991	2929	9286	194	513
KY	21	1992	3140	9819	212	545
KY	21	1993	3275	9895	228	545
KY	21	1994	3746	10429	299	637
KY	21	1995	4109	11326	307	734
KY	21	1996	4451	12090	339	820
KY	21	1997	5176	13548	410	1052
